2026-03-27 01:34:26,280 | INFO | __main__ | Página selecionada: Resumo
2026-03-27 01:34:29,420 | INFO | __main__ | Página selecionada: Transações
2026-03-27 01:34:29,421 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:34:29,424 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:34:29,424 | INFO | src.repositories.categorias_repository | Buscando nomes das categorias no banco de dados
2026-03-27 01:34:30,612 | INFO | __main__ | Página selecionada: Transações
2026-03-27 01:34:30,616 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:34:30,616 | INFO | src.repositories.categorias_repository | Buscando nomes das categorias no banco de dados
2026-03-27 01:34:44,292 | INFO | __main__ | Página selecionada: Transações
2026-03-27 01:34:44,295 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:34:44,296 | INFO | src.repositories.categorias_repository | Buscando nomes das categorias no banco de dados
2026-03-27 01:37:34,259 | INFO | __main__ | Aplicação iniciada
2026-03-27 01:37:34,261 | INFO | __main__ | Página selecionada: Resumo
2026-03-27 01:37:36,050 | INFO | __main__ | Página selecionada: Transações
2026-03-27 01:37:36,051 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:37:36,053 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:37:36,054 | INFO | src.repositories.categorias_repository | Buscando nomes das categorias no banco de dados
2026-03-27 01:37:36,817 | INFO | __main__ | Página selecionada: Transações
2026-03-27 01:37:36,821 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:37:36,821 | INFO | src.repositories.categorias_repository | Buscando nomes das categorias no banco de dados
2026-03-27 01:37:37,722 | INFO | __main__ | Página selecionada: Transações
2026-03-27 01:37:38,449 | INFO | __main__ | Página selecionada: Transações
2026-03-27 01:37:38,453 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:37:38,454 | INFO | src.repositories.categorias_repository | Buscando nomes das categorias no banco de dados
2026-03-27 01:37:46,351 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:37:46,358 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:37:46,396 | INFO | __main__ | Página selecionada: Transações
2026-03-27 01:37:47,261 | INFO | __main__ | Página selecionada: Transações
2026-03-27 01:37:47,265 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:37:47,265 | INFO | src.repositories.categorias_repository | Buscando nomes das categorias no banco de dados
2026-03-27 01:39:09,794 | INFO | __main__ | Aplicação iniciada
2026-03-27 01:39:09,795 | INFO | __main__ | Página selecionada: Resumo
2026-03-27 01:39:11,450 | INFO | __main__ | Página selecionada: Transações
2026-03-27 01:39:11,450 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:39:11,453 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:39:11,454 | INFO | src.repositories.categorias_repository | Buscando nomes das categorias no banco de dados
2026-03-27 01:39:12,851 | INFO | __main__ | Página selecionada: Transações
2026-03-27 01:39:12,855 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:39:12,855 | INFO | src.repositories.categorias_repository | Buscando nomes das categorias no banco de dados
2026-03-27 01:39:27,017 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:39:27,022 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:39:27,071 | INFO | __main__ | Página selecionada: Transações
2026-03-27 01:39:31,984 | INFO | __main__ | Página selecionada: Transações
2026-03-27 01:39:31,987 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:39:31,988 | INFO | src.repositories.categorias_repository | Buscando nomes das categorias no banco de dados
2026-03-27 01:39:34,114 | INFO | __main__ | Página selecionada: Transações
2026-03-27 01:39:34,118 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:39:34,119 | INFO | src.repositories.categorias_repository | Buscando nomes das categorias no banco de dados
2026-03-27 01:39:37,413 | INFO | __main__ | Página selecionada: Transações
2026-03-27 01:39:37,418 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:39:37,418 | INFO | src.repositories.categorias_repository | Buscando nomes das categorias no banco de dados
2026-03-27 01:40:23,594 | INFO | __main__ | Aplicação iniciada
2026-03-27 01:40:23,596 | INFO | __main__ | Página selecionada: Resumo
2026-03-27 01:40:24,698 | INFO | __main__ | Página selecionada: Transações
2026-03-27 01:40:24,698 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:40:24,701 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:40:24,701 | INFO | src.repositories.categorias_repository | Buscando nomes das categorias no banco de dados
2026-03-27 01:40:25,353 | INFO | __main__ | Página selecionada: Transações
2026-03-27 01:40:25,357 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:40:25,357 | INFO | src.repositories.categorias_repository | Buscando nomes das categorias no banco de dados
2026-03-27 01:40:27,199 | INFO | __main__ | Página selecionada: Transações
2026-03-27 01:40:27,203 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:40:27,203 | INFO | src.repositories.categorias_repository | Buscando nomes das categorias no banco de dados
2026-03-27 01:40:29,366 | INFO | __main__ | Página selecionada: Transações
2026-03-27 01:40:29,370 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:40:29,370 | INFO | src.repositories.categorias_repository | Buscando nomes das categorias no banco de dados
2026-03-27 01:40:56,646 | INFO | __main__ | Aplicação iniciada
2026-03-27 01:40:56,648 | INFO | __main__ | Página selecionada: Resumo
2026-03-27 01:40:58,020 | INFO | __main__ | Página selecionada: Transações
2026-03-27 01:40:58,020 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:40:58,022 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:40:58,023 | INFO | src.repositories.categorias_repository | Buscando nomes das categorias no banco de dados
2026-03-27 01:40:58,616 | INFO | __main__ | Página selecionada: Transações
2026-03-27 01:40:58,619 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:40:58,620 | INFO | src.repositories.categorias_repository | Buscando nomes das categorias no banco de dados
2026-03-27 01:41:01,484 | INFO | __main__ | Página selecionada: Transações
2026-03-27 01:41:02,103 | INFO | __main__ | Página selecionada: Transações
2026-03-27 01:41:02,106 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:41:02,107 | INFO | src.repositories.categorias_repository | Buscando nomes das categorias no banco de dados
2026-03-27 01:41:07,601 | INFO | __main__ | Página selecionada: Transações
2026-03-27 01:41:08,560 | INFO | __main__ | Página selecionada: Transações
2026-03-27 01:41:08,564 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:41:08,565 | INFO | src.repositories.categorias_repository | Buscando nomes das categorias no banco de dados
2026-03-27 01:41:09,699 | INFO | __main__ | Página selecionada: Transações
2026-03-27 01:41:21,048 | INFO | __main__ | Página selecionada: Transações
2026-03-27 01:41:21,051 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:41:21,052 | INFO | src.repositories.categorias_repository | Buscando nomes das categorias no banco de dados
2026-03-27 01:41:38,882 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:41:38,886 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:41:38,927 | INFO | __main__ | Página selecionada: Transações
2026-03-27 01:46:09,802 | INFO | __main__ | Aplicação iniciada
2026-03-27 01:46:09,805 | INFO | __main__ | Página selecionada: Resumo
2026-03-27 01:46:10,773 | INFO | __main__ | Página selecionada: Transações
2026-03-27 01:46:10,774 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:46:10,778 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:46:10,778 | INFO | src.repositories.categorias_repository | Buscando nomes das categorias no banco de dados
2026-03-27 01:46:13,668 | INFO | __main__ | Página selecionada: Transações
2026-03-27 01:46:13,672 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:46:13,672 | INFO | src.repositories.categorias_repository | Buscando nomes das categorias no banco de dados
2026-03-27 01:46:36,131 | INFO | __main__ | Aplicação iniciada
2026-03-27 01:46:36,133 | INFO | __main__ | Página selecionada: Resumo
2026-03-27 01:46:38,057 | INFO | __main__ | Página selecionada: Transações
2026-03-27 01:46:38,058 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:46:38,061 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:46:38,062 | INFO | src.repositories.categorias_repository | Buscando nomes das categorias no banco de dados
2026-03-27 01:46:38,691 | INFO | __main__ | Página selecionada: Transações
2026-03-27 01:46:38,694 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:46:38,694 | INFO | src.repositories.categorias_repository | Buscando nomes das categorias no banco de dados
2026-03-27 01:46:45,476 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:46:45,508 | INFO | src.database.connection | Conectando ao banco de dados
2026-03-27 01:46:45,608 | INFO | __main__ | Página selecionada: Transações
